"","expo","nclaims","amount","coverage","ageph","sex","bm","power","agec","fuel","use","fleet","long","lat"
"62665",0.073972602739726,0,0,"TPL",73,"male",0,77,5,"gasoline","private","0",5.50056737527412,50.5831880293416
"156443",0.265753424657534,0,0,"TPL+",33,"female",7,50,5,"diesel","private","0",3.98274169164509,50.8070986414663
"152134",1,0,0,"TPL",32,"male",2,100,11,"gasoline","private","0",4.19347022671512,51.1335154441337
"50636",1,0,0,"TPL+",47,"male",5,96,2,"gasoline","private","0",5.36485614680658,50.9924504248163
"27491",1,0,0,"TPL++",43,"male",1,65,2,"gasoline","private","0",4.38714643615594,51.2160423671088
"59481",0.0767123287671233,0,0,"TPL+",59,"male",10,40,8,"gasoline","private","0",5.55664901167823,50.6478075291239
"123919",1,0,0,"TPL",28,"female",11,55,7,"gasoline","private","0",3.3850926114405,50.5371041551838
"64355",0.895890410958904,0,0,"TPL",59,"male",0,60,9,"gasoline","private","0",5.51107386467923,50.479559030091
"40090",1,0,0,"TPL",32,"male",2,40,9,"diesel","private","0",4.23104105710746,51.0959392503027
"115885",1,0,0,"TPL+",62,"male",0,65,2,"gasoline","private","0",4.16179244623246,50.5608390223111
"9724",0.93972602739726,0,0,"TPL",39,"female",11,29,15,"gasoline","private","0",4.41954240929658,50.8485277474009
"49764",1,0,0,"TPL",20,"male",11,43,10,"diesel","private","0",5.08939258500931,50.8354268908245
"63136",1,0,0,"TPL+",78,"male",5,40,13,"gasoline","private","0",5.50056737527412,50.5831880293416
"4116",1,0,0,"TPL",58,"male",2,33,7,"gasoline","private","0",4.28110524587358,50.8295104693713
"22872",1,1,647.448308002747,"TPL",47,"male",0,33,6,"gasoline","private","0",4.45976387653786,50.8456835721594
"65643",0.0794520547945206,0,0,"TPL",26,"male",7,48,11,"diesel","private","0",5.06153036144212,50.6667385239136
"122473",1,0,0,"TPL",61,"male",1,50,7,"gasoline","private","0",3.37582731451015,50.5925185407709
"8691",0.265753424657534,0,0,"TPL",42,"female",3,44,2,"gasoline","private","0",4.3126036782253,50.8145607344824
"130896",0.161643835616438,0,0,"TPL",51,"male",1,40,6,"gasoline","private","0",3.20141248588086,51.2341856537094
"138338",1,0,0,"TPL",54,"male",1,40,8,"gasoline","private","0",3.43385201663516,50.8381419546696
"92425",1,0,0,"TPL++",52,"female",1,51,5,"gasoline","private","0",4.43709177560176,50.4173411858797
"1875",1,1,458.603020830493,"TPL++",31,"female",10,39,3,"gasoline","private","0",4.37467709170898,50.8621726451902
"80202",0.413698630136986,0,0,"TPL",35,"male",1,40,12,"diesel","private","0",4.85818540668705,50.4620030651056
"7578",0.915068493150685,0,0,"TPL++",68,"male",0,78,6,"gasoline","private","0",4.41165138779067,50.7934815119673
"156040",1,0,0,"TPL",76,"male",1,38,9,"diesel","private","0",3.93361576919699,50.9665580476933
"100908",1,0,0,"TPL",70,"female",6,55,9,"gasoline","private","0",4.25006738695919,50.3661438140276
"66063",0.915068493150685,0,0,"TPL+",43,"male",9,85,7,"gasoline","private","0",5.01553446575128,50.7220936973169
"56391",1,0,0,"TPL",40,"female",0,55,9,"diesel","private","0",5.32066127099771,50.8435104032435
"151930",1,0,0,"TPL++",68,"male",0,51,15,"gasoline","private","0",4.19347022671512,51.1335154441337
"21564",1,0,0,"TPL+",48,"female",0,83,10,"gasoline","private","0",4.37305172273991,50.941116827219
"4010",1,1,145.017711992345,"TPL+",36,"female",1,70,6,"gasoline","private","0",4.28110524587358,50.8295104693713
"91653",1,0,0,"TPL+",39,"female",0,44,12,"gasoline","private","0",4.43709177560176,50.4173411858797
"137007",1,1,2850.77553489225,"TPL+",73,"male",1,44,14,"gasoline","private","0",3.30589838083999,50.8439096861155
"1987",0.495890410958904,0,0,"TPL++",32,"male",5,66,2,"gasoline","private","0",4.37467709170898,50.8621726451902
"117416",1,0,0,"TPL",54,"male",2,48,12,"gasoline","private","0",3.64423201146657,50.4770030537849
"48054",1,0,0,"TPL",62,"male",0,45,7,"gasoline","private","0",4.96509341580506,50.9714887858045
"47632",1,0,0,"TPL+",68,"male",2,70,5,"gasoline","private","0",4.81294774207689,50.9806911065754
"139736",1,0,0,"TPL++",25,"male",0,33,9,"gasoline","private","0",3.35198271589387,51.0070439375589
"76084",1,0,0,"TPL",35,"female",0,33,9,"gasoline","private","0",6.12558783718456,50.6042172451328
"14760",1,0,0,"TPL+",58,"male",0,31,6,"gasoline","private","0",4.27253687672192,50.679860712906
"156263",1,0,0,"TPL",33,"male",0,69,8,"diesel","private","0",3.98274169164509,50.8070986414663
"126461",1,1,145.017711992345,"TPL+",60,"male",0,43,2,"gasoline","private","0",3.77338905250969,50.6353253424878
"13453",0.668493150684932,0,0,"TPL",51,"male",4,85,4,"gasoline","private","0",4.34681694963428,50.6925313743915
"24431",1,1,1426.37934154522,"TPL+",26,"male",8,59,2,"gasoline","private","0",4.38714643615594,51.2160423671088
"36051",1,1,3021.87164569074,"TPL+",44,"female",1,68,6,"gasoline","private","0",4.42120677431875,51.1567505132737
"32799",1,0,0,"TPL",27,"male",2,66,3,"diesel","private","0",4.93029103751918,51.2436530288025
"105016",1,0,0,"TPL",41,"male",3,42,9,"diesel","private","0",5.44735206598013,50.3366842094579
"161785",1,0,0,"TPL",45,"female",1,85,3,"gasoline","private","0",3.67407041899466,50.9294898116397
"7386",0.00547945205479452,0,0,"TPL+",23,"male",9,42,6,"diesel","private","0",4.42631263766543,50.8108174541943
"69102",1,0,0,"TPL+",43,"male",0,66,7,"gasoline","private","0",5.51668498270527,50.6586685751288
"128649",1,0,0,"TPL",47,"male",0,55,11,"gasoline","private","0",3.7199522213586,50.7541110150933
"32678",1,0,0,"TPL",50,"male",0,38,9,"gasoline","private","0",5.0616033946819,51.1251790094524
"15406",0.336986301369863,0,0,"TPL++",35,"male",6,42,1,"diesel","private","0",4.17854723478253,50.6906257739008
"130612",1,0,0,"TPL",72,"male",0,54,12,"gasoline","private","0",3.20141248588086,51.2341856537094
"149588",1,0,0,"TPL+",67,"male",0,33,7,"gasoline","private","0",3.70660884472355,51.0590759805841
"67510",0.246575342465753,1,171.591897848036,"TPL+",49,"male",0,82,3,"gasoline","private","0",5.33570487869407,50.7236031634025
"111388",1,0,0,"TPL++",59,"male",2,55,6,"diesel","private","0",4.1660211675673,50.4679258787816
"9288",0.934246575342466,0,0,"TPL",42,"male",9,65,12,"gasoline","private","0",4.41954240929658,50.8485277474009
"5124",1,0,0,"TPL+",61,"male",1,98,5,"gasoline","private","0",4.30681573990677,50.8559335899744
"93724",1,0,0,"TPL",78,"male",0,50,17,"gasoline","private","0",4.36596526327182,50.3728339671813
"8703",1,0,0,"TPL+",40,"male",0,55,11,"gasoline","private","0",4.3126036782253,50.8145607344824
"1880",0.772602739726027,0,0,"TPL+",37,"male",11,68,5,"gasoline","private","0",4.37467709170898,50.8621726451902
"2970",1,0,0,"TPL++",28,"female",6,40,3,"gasoline","private","0",4.36973950405122,50.823422611616
"75048",0.545205479452055,0,0,"TPL++",38,"male",4,66,1,"gasoline","private","0",5.72205379249418,50.683420990505
"151474",1,0,0,"TPL",33,"female",2,40,12,"diesel","private","0",4.1502097937052,51.1714865860244
"103747",1,0,0,"TPL+",61,"male",0,62,9,"diesel","private","0",5.79271200231588,49.5665611096009
"96610",0.947945205479452,0,0,"TPL+",43,"male",0,43,3,"diesel","private","0",4.51024082354512,50.3976313863189
"76742",0.556164383561644,0,0,"TPL+",43,"male",0,69,7,"diesel","work","0",5.84419842219759,50.5851528730638
"9197",0.227397260273973,0,0,"TPL+",29,"female",0,141,7,"gasoline","private","0",4.41954240929658,50.8485277474009
"4102",1,0,0,"TPL+",32,"male",3,90,7,"gasoline","private","0",4.28110524587358,50.8295104693713
"95518",1,0,0,"TPL",47,"male",1,39,6,"diesel","private","0",4.36024375406355,50.4620091548263
"144184",1,0,0,"TPL",26,"male",8,68,3,"diesel","private","0",3.14281102682167,50.7930459073677
"71556",0.947945205479452,0,0,"TPL",53,"male",1,44,1,"gasoline","private","0",5.18610886167392,50.5508205513449
"151647",0.293150684931507,0,0,"TPL",60,"male",0,54,2,"gasoline","private","0",4.23076047906183,51.2126496239539
"100113",1,0,0,"TPL++",66,"male",5,44,2,"gasoline","private","0",4.25961186993773,50.0718655275674
"42730",1,1,2204.6410625708,"TPL++",51,"male",11,50,11,"gasoline","private","0",4.61647083197372,51.3365001038593
"103115",1,0,0,"TPL+",51,"male",9,63,10,"gasoline","private","0",5.80642284754309,49.6176933501103
"19802",1,0,0,"TPL++",49,"male",4,70,2,"diesel","private","0",4.29760710646949,50.910114527557
"724",1,0,0,"TPL++",50,"male",0,43,2,"gasoline","private","0",4.35522299485413,50.8453864646626
"2034",1,0,0,"TPL",44,"male",0,66,8,"gasoline","private","0",4.37467709170898,50.8621726451902
"68083",1,0,0,"TPL+",68,"male",0,44,5,"gasoline","private","0",5.42923359281155,50.5974461281429
"105695",1,1,4240.73931764828,"TPL+",55,"male",5,74,5,"gasoline","private","0",3.9567613947591,50.4569048505571
"139013",1,1,62.9897446448801,"TPL",21,"male",11,33,15,"gasoline","private","0",2.65301760456688,51.04713778232
"6718",0.0794520547945206,0,0,"TPL++",29,"male",14,81,1,"diesel","work","0",4.39673657191953,50.8706355187769
"150208",1,0,0,"TPL++",44,"male",0,70,9,"gasoline","private","0",3.79774906055494,51.0449161277219
"86669",0.484931506849315,0,0,"TPL+",31,"male",11,44,6,"diesel","private","0",4.90513470028784,50.0899535235239
"66249",1,0,0,"TPL+",64,"male",0,54,10,"gasoline","work","0",5.25512809509581,50.6945616991522
"18402",0.632876712328767,0,0,"TPL",33,"male",0,79,6,"gasoline","private","0",4.22762023002984,50.8594359205712
"57987",1,0,0,"TPL+",33,"male",5,51,5,"diesel","private","0",5.05762309445281,51.0552800552588
"74090",1,0,0,"TPL+",58,"male",0,66,6,"diesel","private","0",5.72305244119386,50.6177182970185
"116257",1,0,0,"TPL+",37,"male",1,100,8,"gasoline","private","0",3.77700355257462,50.4296187489822
"84875",1,0,0,"TPL",39,"female",5,100,14,"gasoline","private","0",4.8822176372859,50.5872457897281
"75205",1,0,0,"TPL+",61,"male",0,48,14,"diesel","private","0",5.61100065172902,50.7117457697964
"54427",1,0,0,"TPL+",53,"male",1,60,2,"diesel","private","0",5.70346478814479,51.0885631997078
"29114",1,0,0,"TPL",57,"male",0,97,7,"gasoline","private","0",4.81574034293503,51.164325946244
"147347",1,0,0,"TPL+",52,"male",0,70,2,"diesel","private","0",3.70660884472355,51.0590759805841
"113032",1,0,0,"TPL++",44,"male",0,60,6,"diesel","private","0",4.08024325953923,50.4333637353578
"26598",1,1,1611.30791102606,"TPL",40,"female",5,40,10,"gasoline","private","0",4.38714643615594,51.2160423671088
"73968",1,0,0,"TPL",47,"female",0,41,8,"gasoline","private","0",5.67107874216284,50.618767575423
"39242",1,0,0,"TPL+",58,"male",5,47,5,"diesel","private","0",4.36132289582777,51.0941332695407
"114432",1,0,0,"TPL",64,"male",0,43,13,"diesel","private","1",4.22426941740339,50.4572623904405
"160011",1,0,0,"TPL",71,"male",0,37,7,"diesel","work","0",3.5041755286041,50.9908192814946
"41163",0.882191780821918,0,0,"TPL",76,"male",4,59,15,"gasoline","private","0",4.45712796752928,51.3993340843294
"82716",1,0,0,"TPL",50,"male",0,55,3,"diesel","private","0",4.66949129036573,50.3939221258473
"112059",0.413698630136986,0,0,"TPL++",29,"male",9,47,2,"diesel","private","0",4.1660211675673,50.4679258787816
"16928",1,0,0,"TPL",35,"male",0,37,15,"gasoline","private","0",4.22882726584794,50.7309769583469
"49109",1,0,0,"TPL",37,"male",0,43,7,"diesel","private","0",4.83082554179662,50.8356809031453
"67761",1,0,0,"TPL++",68,"female",0,33,7,"gasoline","private","0",5.42923359281155,50.5974461281429
"150609",1,0,0,"TPL",60,"male",0,51,4,"diesel","private","0",4.1502097937052,51.1714865860244
"59854",1,0,0,"TPL+",62,"male",0,68,4,"gasoline","private","0",5.55664901167823,50.6478075291239
"41374",1,0,0,"TPL++",77,"male",0,97,3,"gasoline","private","0",4.48885510893466,51.3101826812241
"57723",0.780821917808219,0,0,"TPL",46,"male",5,38,13,"gasoline","private","0",5.62093099108526,51.142372850644
"137871",0.498630136986301,1,5.20576402023803,"TPL",23,"male",10,44,3,"gasoline","private","0",3.16175485166965,50.8320313106517
"156348",1,0,0,"TPL+",28,"female",3,40,8,"gasoline","private","0",3.98274169164509,50.8070986414663
"88610",1,0,0,"TPL+",65,"male",5,40,9,"gasoline","private","0",4.68720652961957,50.1448201369376
"120460",1,0,0,"TPL+",56,"male",0,51,1,"diesel","private","0",3.68387353057292,50.4006494857772
"116099",1,0,0,"TPL",70,"male",0,40,7,"gasoline","private","0",4.16179244623246,50.5608390223111
"63067",0.30958904109589,0,0,"TPL+",43,"female",0,43,5,"gasoline","private","0",5.50056737527412,50.5831880293416
"152364",1,0,0,"TPL++",32,"male",1,85,3,"gasoline","private","0",4.19347022671512,51.1335154441337
"12891",1,0,0,"TPL++",70,"male",0,52,10,"gasoline","private","0",4.31248201567497,50.5920632481106
